FrameNum , Door_Status,Screen_Status,Light_Status,Agent,Open_Door_Inside,Close_Door_Inside,Open_Door_Outside,Close_Door_Outside,Power_Monitor,Touch_Mouse,Touch_Keyboard,Touch_Switch,Conversation,Pick_Up,Walk_By
59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
79,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
108,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
130,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
409,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
420,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
448,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
484,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
520,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
525,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
530,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
706,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
720,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
790,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
801,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
839,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
840,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
927,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
929,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
968,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
985,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1004,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
1113,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
1118,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1130,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1146,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1182,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
1184,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1218,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1220,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1264,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1279,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1313,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
